epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
139,1666.69,1.14388,0.98252,1.56055,0.87042,0.69702,0.81552,0.53816,1.41106,1.19813,1.94102,0.000113384,0.000113384,0.000113384
140,1679.2,1.13913,0.98047,1.54957,0.84239,0.66159,0.80777,0.51679,1.49614,1.37237,1.9515,0.000110186,0.000110186,0.000110186
141,1691,1.12586,0.9872,1.54776,0.82017,0.69141,0.81551,0.52352,1.4358,1.35708,1.94177,0.000107023,0.000107023,0.000107023
142,1702.8,1.07773,0.94573,1.50123,0.92781,0.68381,0.80023,0.52551,1.41447,1.29729,1.93041,0.000103896,0.000103896,0.000103896
143,1714.65,1.08613,0.94442,1.53018,0.84056,0.69954,0.79901,0.52477,1.42309,1.40835,1.92174,0.000100806,0.000100806,0.000100806
144,1726.7,1.08218,0.95004,1.50007,0.88647,0.64352,0.79188,0.50741,1.40126,1.33271,1.93196,9.77524e-05,9.77524e-05,9.77524e-05
145,1738.5,1.0699,0.93371,1.50615,0.82122,0.67966,0.7868,0.51383,1.35048,1.31871,1.89679,9.47376e-05,9.47376e-05,9.47376e-05
146,1750.29,1.06098,0.89213,1.50699,0.71047,0.7935,0.79882,0.51439,1.37491,1.30377,1.90783,9.17616e-05,9.17616e-05,9.17616e-05
147,1762.19,1.10617,0.99329,1.51724,0.77232,0.725,0.80454,0.52943,1.38426,1.33114,1.89593,8.88253e-05,8.88253e-05,8.88253e-05
148,1774.02,1.0344,0.89056,1.47401,0.71594,0.79731,0.80964,0.53091,1.40409,1.29906,1.93476,8.59294e-05,8.59294e-05,8.59294e-05
149,1785.87,1.02024,0.90945,1.45899,0.91308,0.68358,0.81652,0.5437,1.37025,1.20584,1.9019,8.30746e-05,8.30746e-05,8.30746e-05
150,1798.42,1.04714,0.89951,1.49405,0.82203,0.73655,0.82383,0.52204,1.39499,1.25687,1.92524,8.02616e-05,8.02616e-05,8.02616e-05
151,1810.21,1.09143,0.90967,1.49737,0.79609,0.69587,0.81746,0.50205,1.48565,1.28645,2.01203,7.74911e-05,7.74911e-05,7.74911e-05
152,1822.04,1.0547,0.91777,1.48386,0.7631,0.74799,0.81643,0.52215,1.43744,1.26088,1.97157,7.47637e-05,7.47637e-05,7.47637e-05
153,1834.16,1.01985,0.90143,1.4686,0.8727,0.69702,0.82686,0.53496,1.36392,1.3029,1.89447,7.20803e-05,7.20803e-05,7.20803e-05
154,1845.97,1.09568,0.93492,1.51682,0.86872,0.70907,0.82745,0.53544,1.41206,1.40439,1.93506,6.94413e-05,6.94413e-05,6.94413e-05
155,1857.79,1.06732,0.90301,1.48298,0.90026,0.71356,0.83038,0.54096,1.34404,1.3301,1.89814,6.68475e-05,6.68475e-05,6.68475e-05
156,1869.66,1.05237,0.89832,1.47905,0.68392,0.82187,0.82486,0.54322,1.32551,1.27652,1.88741,6.42995e-05,6.42995e-05,6.42995e-05
157,1881.47,1.01732,0.85417,1.43949,0.82416,0.71439,0.8202,0.52731,1.39464,1.31521,1.95185,6.1798e-05,6.1798e-05,6.1798e-05
158,1893.39,1.0796,0.9158,1.49852,0.85131,0.73931,0.82855,0.53113,1.35256,1.28041,1.91386,5.93435e-05,5.93435e-05,5.93435e-05
159,1905.23,1.04071,0.87838,1.44853,0.91788,0.70907,0.82458,0.51195,1.41106,1.30962,1.94689,5.69366e-05,5.69366e-05,5.69366e-05
160,1916.97,1.00836,0.84542,1.43157,0.85166,0.71221,0.83888,0.52672,1.38126,1.38029,1.93158,5.4578e-05,5.4578e-05,5.4578e-05
161,1928.81,1.0356,0.90489,1.48097,0.78808,0.72532,0.82759,0.53652,1.40667,1.42596,1.9313,5.22683e-05,5.22683e-05,5.22683e-05
162,1940.87,1.02505,0.81569,1.439,0.8228,0.72524,0.83805,0.55799,1.35966,1.38183,1.87699,5.00079e-05,5.00079e-05,5.00079e-05
163,1953.28,0.96735,0.81384,1.41636,0.88937,0.68383,0.83806,0.55796,1.35141,1.29242,1.89632,4.77976e-05,4.77976e-05,4.77976e-05
164,1965.11,0.9787,0.85331,1.43659,0.92405,0.66538,0.83365,0.5501,1.39153,1.3023,1.92585,4.56377e-05,4.56377e-05,4.56377e-05
165,1976.87,1.03983,0.87314,1.49326,0.89241,0.70234,0.8265,0.54179,1.48215,1.50588,1.9747,4.35288e-05,4.35288e-05,4.35288e-05
166,1988.72,0.99201,0.81929,1.41624,0.8806,0.73848,0.84236,0.55836,1.37646,1.29069,1.89878,4.14716e-05,4.14716e-05,4.14716e-05
167,2001.83,1.00927,0.80969,1.44868,0.86139,0.76258,0.84309,0.5591,1.3482,1.23821,1.88321,3.94663e-05,3.94663e-05,3.94663e-05
168,2014.29,1.02393,0.90476,1.47277,0.85689,0.74668,0.8407,0.5605,1.36255,1.18092,1.90979,3.75137e-05,3.75137e-05,3.75137e-05
169,2026.86,1.01758,0.8513,1.43091,0.91624,0.71835,0.84355,0.55377,1.43904,1.19551,1.9741,3.56141e-05,3.56141e-05,3.56141e-05
170,2038.91,0.98777,0.85841,1.42788,0.90375,0.75656,0.85388,0.55753,1.40215,1.10097,1.93603,3.3768e-05,3.3768e-05,3.3768e-05
171,2050.67,1.01225,0.85639,1.43044,0.90528,0.75111,0.85798,0.56469,1.3984,1.11905,1.93766,3.19759e-05,3.19759e-05,3.19759e-05
172,2063.25,0.98076,0.83791,1.41081,0.90979,0.7498,0.85275,0.56836,1.38244,1.15337,1.91338,3.02382e-05,3.02382e-05,3.02382e-05
173,2075.75,1.04839,0.85053,1.46242,0.89949,0.75656,0.84911,0.56937,1.33371,1.16541,1.86505,2.85553e-05,2.85553e-05,2.85553e-05
174,2088.28,0.98524,0.81568,1.4339,0.90535,0.74512,0.84367,0.57182,1.33297,1.17213,1.87726,2.69277e-05,2.69277e-05,2.69277e-05
175,2100.79,0.982,0.83913,1.4035,0.91234,0.73908,0.84323,0.56797,1.31492,1.15324,1.86743,2.53557e-05,2.53557e-05,2.53557e-05
176,2112.58,0.98045,0.8193,1.40004,0.94492,0.69702,0.84088,0.56045,1.32191,1.12951,1.86354,2.38398e-05,2.38398e-05,2.38398e-05
177,2124.42,0.98195,0.82621,1.43966,0.93124,0.691,0.84396,0.55365,1.33732,1.12592,1.87372,2.23803e-05,2.23803e-05,2.23803e-05
